SpT   Teff   logT   BCv     Mv    logL  B-V   Bt-Vt    U-B     V-Rc   V-Ic    V-Ks    J-H     H-K     Ks-W1  Msun  logAge b-y    #SpT    M_J    M_K    Mbol 
F6V    6340   3.802  -0.05   3.70  0.43  0.484  0.504  -0.021   0.276  0.553   1.185   0.199   0.057   0.028  1.25  9.4    0.317  F6V     2.78   2.52   3.65 
F7V    6240   3.795  -0.06   3.87  0.36  0.510  0.534  -0.012   0.290  0.579   1.244   0.213   0.060   0.027  1.21  9.5    0.332  F7V     2.90   2.63   3.81 
F8V    6150   3.789  -0.07   4.01  0.31  0.530  0.558   0.001   0.300  0.599   1.290   0.225   0.061   0.027  1.18  9.6    0.350  F8V     3.01   2.72   3.94 
F9V    6040   3.781  -0.08   4.15  0.26  0.552  0.587   0.014   0.312  0.620   1.340   0.237   0.063   0.027  1.14  9.7    0.378  F9V     3.11   2.81   4.07 
G0V    5920   3.772  -0.09   4.39  0.17  0.588  0.638   0.049   0.331  0.656   1.421   0.258   0.066   0.027  1.09  9.7    ...    G0V     3.29   2.97   4.30 
G1V    5880   3.769  -0.10   4.50  0.13  0.604  0.661   0.067   0.340  0.672   1.458   0.267   0.068   0.027  1.07  9.8    ...    G1V     3.38   3.04   4.40 
G2V    5770   3.761  -0.11   4.79  0.01  0.650  0.724   0.133   0.363  0.713   1.564   0.293   0.073   0.028  1.02  9.8    ...    G2V     3.57   3.20   4.68 
G3V    5720   3.757  -0.12   4.86 -0.01  0.661  0.739   0.152   0.368  0.722   1.590   0.299   0.074   0.028  1.00  ...    ...    G3V     3.64   3.27   4.74 
G4V    5680   3.754  -0.13   4.94 -0.04  0.674  0.757   0.175   0.374  0.733   1.621   0.307   0.075   0.028  0.99  ...    ...    G4V     3.70   3.32   4.80 
G5V    5660   3.753  -0.13   4.98 -0.05  0.680  0.764   0.185   0.377  0.738   1.635   0.310   0.076   0.028  0.98  ...    ...    G5V     3.74   3.35   4.84 
G6V    5590   3.747  -0.15   5.13 -0.11  0.704  0.796   0.227   0.388  0.758   1.691   0.324   0.079   0.028  0.97  ...    ...    G6V     3.84   3.44   4.98 
G7V    5530   3.743  -0.16   5.18 -0.12  0.713  0.809   0.243   0.393  0.766   1.712   0.329   0.080   0.028  0.96  ...    ...    G7V     3.88   3.47   5.02 
G8V    5490   3.734  -0.17   5.32 -0.17  0.737  0.842   0.284   0.404  0.786   1.768   0.342   0.082   0.028  0.94  ...    ...    G8V     3.97   3.55   5.15 
G9V    5340   3.728  -0.21   5.55 -0.25  0.777  0.894   0.358   0.423  0.820   1.861   0.365   0.087   0.029  0.90  ...    ...    G9V     4.14   3.69   5.34 
K0V    5280   3.723  -0.22   5.76 -0.33  0.816  0.944   0.436   0.443  0.853   1.953   0.387   0.091   0.030  0.87  ...    ...    K0V     4.29   3.81   5.54 
K1V    5170   3.713  -0.26   5.91 -0.37  0.847  0.982   0.502   0.460  0.883   2.034   0.405   0.094   0.030  0.85  ...    ...    K1V     4.47   3.97   5.65 
K2V    5040   3.706  -0.29   6.19 -0.47  0.893  1.047   0.600   0.487  0.929   2.155   0.432   0.099   0.031  0.82  ...    ...    K2V     4.57   4.04   5.88 
K3V    4840   3.685  -0.41   6.57 -0.58  0.990  1.166   0.801   0.544  1.025   2.410   0.490   0.110   0.034  0.78  ...    ...    K3V     4.76   4.16   6.16 
K4V    4620   3.665  -0.55   7.04 -0.71  1.100  1.306   1.004   0.640  1.190   2.733   0.544   0.125   0.039  0.73  ...    ...    K4V     4.98   4.31   6.48 
K5V    4450   3.648  -0.67   7.25 -0.75  1.134  1.352   1.056   0.671  1.246   2.835   0.560   0.130   0.041  0.72  ...    ...    K5V     5.11   4.42   6.58 
K6V    4200   3.623  -0.86   7.88 -0.92  1.257  1.454   1.199   0.771  1.448   3.190   0.605   0.151   0.051  0.70  ...    ...    K6V     5.45   4.69   7.07 
K7V    4050   3.607  -1.00   8.30 -1.04  1.336  1.538   1.222   0.824  1.574   3.407   0.623   0.168   0.061  0.64  ...    ...    K7V     5.68   4.89   7.30 
K8V    3970   3.599  -1.11   8.60 -1.12  1.382  1.592   1.213   0.859  1.671   3.554   0.630   0.181   0.069  0.61  ...    ...    K8V     5.86   5.05   7.52 
K9V    3880   3.589  -1.25   8.96 -1.22  1.418  1.634   1.198   0.900  1.802   3.728   0.624   0.197   0.081  0.59  ...    ...    K9V     6.05   5.23   7.77 
M0V    3850   3.585  -1.30   9.16 -1.26  1.431  1.650   1.190   0.913  1.848   3.790   0.622   0.203   0.086  0.58  ...    ...    M0V     6.14   8   7.90 
M1V    3680   3.566  -1.53   9.80 -1.42  1.484  ...     1.171   0.974  2.074   4.100   0.608   0.227   0.104  0.52  ...    ...    M1V     6.54   5.70   8.27 
M2V    3550   3.550  -1.65  10.30 -1.57  1.500  ...     1.170   1.001  2.173   4.240   0.600   0.234   0.110  0.48  ...    ...    M2V     6.89   6.06   8.65 
M3V    3400   3.531  -1.97  11.14 -1.78  1.544  ...     1.181   1.079  2.420   4.600   0.579   0.252   0.122  0.43  ...    ...    M3V     7.40   6.54   9.17 
M4V    3200   3.505  -2.59  12.80 -2.20  1.661  ...     1.215   1.241  2.831   5.250   0.557   0.282   0.139  0.24  ...    ...    M4V     8.39   7.55  10.21 
M5V    3050   3.484  -3.28  14.30 -2.52  1.874  ...     1.433   1.446  3.277   5.942   0.580   0.311   ...    0.15  ...    ...    M5V     9.25   8.36  11.02 
M6V    2800   3.447  -4.36  16.62 -3.02  2.000  ...     ...     1.950  4.100   7.300   0.605   0.352   ...    0.10  ...    ...    M6V    10.28   9.32  12.26 
M7V    2650   3.423  -5.06  17.81 -3.21  2.060  ...     ...     2.180  4.520   8.050   0.613   0.386   ...    0.098 ...    ...    M7V    10.76   9.76  12.75 
M8V    2570   3.410  -5.66  18.75 -3.35  2.130  ...     ...     2.150  4.600   8.700   0.675   0.446   ...    0.082 ...    ...    M8V    11.16  10.04  13.09 
M9V    2450   3.389  -5.73  19.26 -3.53  ...    ...     ...     1.890  4.370   8.850   0.749   0.481   ...    0.065 ...    ...    M9V    11.64  10.41  13.53 
L0V    2250   3.352  ...    19.8   ...   ...    ...     ...     ...    4.6     9.3     0.79    0.50    ...    ...   ...    ...    L0V    11.67  10.38  ...   
L1V    2200   3.342  ...    20.3   ...   ...    ...     ...     ...    4.8     9.6     0.80    0.54    ...    ...   ...    ...    L1V    12.37  11.03  ...   
L2V    2190   3.340  ...    20.8   ...   ...    ...     ...     ...    4.9     9.9     0.87    0.57    ...    ...   ...    ...    L2V    12.61  11.17  ...   
L3V    1920   3.283  ...    21.3   ...   ...    ...     ...     ...    5.0     10.2    1.00    0.63    ...    ...   ...    ...    L3V    12.82  11.22  ...   
L4V    1810   3.258  ...    22.2   ...   ...    ...     ...     ...    5.5     10.8    1.14    0.63    ...    ...   ...    ...    L4V    13.14  11.47  ...   
L5V    1750   3.243  ...    23.1   ...   ...    ...     ...     ...    6.0     11.4    1.13    0.65    ...    ...   ...    ...    L5V    13.55  11.82  ...   
L6V    1670   3.223  ...    ...    ...   ...    ...     ...     ...    ...     ...     1.08    0.64    ...    ...   ...    ...    L6V    13.95  12.27  ...   
L7V    1590   3.201  ...    ...    ...   ...    ...     ...     ...    ...     ...     1.10    0.62    ...    ...   ...    ...    L7V    14.26  12.62  ...   
L8V    1430   3.155  ...    ...    ...   ...    ...     ...     ...    ...     ...     1.14    0.63    ...    ...   ...    ...    L8V    14.43  12.70  ...   
L9V    1400   3.146  ...    ...    ...   ...    ...     ...     ...    ...     ...     1.10    0.63    ...    ...   ...    ...    L9V    14.44  12.74  ...   
T0V    1370   3.137  ...    ...    ...   ...    ...     ...     ...    ...     ...     1.02    0.54    ...    ...   ...    ...    T0V    14.34  12.90  ...   
T1V    1325   3.122  ...    ...    ...   ...    ...     ...     ...    ...     ...     1.02    0.45    ...    ...   ...    ...    T1V    14.21  12.87  ...   
T2V    1280   3.107  ...    ...    ...   ...    ...     ...     ...    ...     ...     0.86    0.27    ...    ...   ...    ...    T2V    14.12  13.19  ...   
T3V    1240   3.093  ...    ...    ...   ...    ...     ...     ...    ...     ...     0.68    0.08    ...    ...   ...    ...    T3V    14.14  13.69  ...   
T4V    1205   3.081  ...    ...    ...   ...    ...     ...     ...    ...     ...     0.35   -0.19    ...    ...   ...    ...    T4V    14.32  14.51  ...   
T4.5V  1185   3.073  ...    ...    ...   ...    ...     ...     ...    ...     ...     0.2    -0.06    ...    ...   ...    ...    T4.5V  14.48  14.66  ...   
T5V    1160   3.064  ...    ...    ...   ...    ...     ...     ...    ...     ...     0.2    -0.08    ...    ...   ...    ...    T5V    14.68  14.90  ...   
T5.5V  1055   3.023  ...    ...    ...   ...    ...     ...     ...    ...     ...     0.2    -0.10    ...    ...   ...    ...    T5.5V  14.92  15.18  ...   
T6V    970    2.987  ...    ...    ...   ...    ...     ...     ...    ...     ...     0.1    -0.03    ...    ...   ...    ...    T6V    15.20  15.54  ...   
T7V    950    2.978  ...    ...    ...   ...    ...     ...     ...    ...     ...     0.0     0.00    ...    ...   ...    ...    T7V    15.91  16.36  ...   
T7.5V  815    2.911  ...    ...    ...   ...    ...     ...     ...    ...     ...     0.2    -0.05    ...    ...   ...    ...    T7.5V  16.36  16.85  ...   
T8V    730    2.863  ...    ...    ...   ...    ...     ...     ...    ...     ...     0.2    -0.05    ...    ...   ...    ...    T8V    16.89  17.43  ...   
T8.5V  630    2.799  ...    ...    ...   ...    ...     ...     ...    ...     ...     0.2     ...     ...    ...   ...    ...    T8.5V  17.55  ...    ...   
T9V    555    2.744  ...    ...    ...   ...    ...     ...     ...    ...     ...     0.1    -0.20    ...    ...   ...    ...    T9V    18.40  18.48  ...   
T9.5V  500    2.699  ...    ...    ...   ...    ...     ...     ...    ...     ...     ...     ...     ...    ...   ...    ...    T9.5V  19.52  19.32  ...   
Y0V    400    2.602  ...    ...    ...   ...    ...     ...     ...    ...     ...     ...     ...     ...    ...   ...    ...    Y0V    24     ...    ...   
